description,category
Gym Membership,Healthcare
Yoga Classes,Healthcare
Medicine Purchase,Healthcare
Medical Bill,Healthcare
Eye Checkup,Healthcare
Blood Test,Healthcare
X-Ray,Healthcare
Vaccination,Healthcare
Health Insurance Premium,Healthcare
Pharmacy Bill,Healthcare
Dermatologist Visit,Healthcare
Orthopaedic Consultation,Healthcare
Dietician Fee,Healthcare
Diagnostic Centre,Healthcare
Netmeds Order,Healthcare
Electricity Bill,Utilities
BESCOM Bill,Utilities
TATA Power Bill,Utilities
Water Bill Payment,Utilities
HP Gas Cylinder,Utilities
Indane Gas Booking,Utilities
Bharat Gas,Utilities
Airtel Broadband,Utilities
BSNL Internet Bill,Utilities
Jio Fiber,Utilities
ACT Fibernet,Utilities
Vodafone Recharge,Utilities
Airtel Mobile Recharge,Utilities
Jio Recharge,Utilities
DTH Recharge,Utilities
Tata Sky,Utilities
Dish TV,Utilities
Cable TV Bill,Utilities
Internet Bill,Utilities
Phone Recharge,Utilities
BBMP Property Tax,Utilities
Municipal Tax,Utilities
Mobile Recharge,Utilities
Broadband Bill,Utilities
Electricity Recharge,Utilities
Gas Bill,Utilities
Adani Electricity,Utilities
MSEB Bill,Utilities
TNEB Bill,Utilities
BESCOM Prepaid,Utilities
Tuition Fees,Education
College Fees,Education
School Fees,Education
Udemy Course,Education
Coursera Subscription,Education
LinkedIn Learning,Education
BYJU'S Subscription,Education
Unacademy Plus,Education
Vedantu Classes,Education
Textbooks Amazon,Education
Stationery Purchase,Education
Exam Fee,Education
GATE Coaching,Education
CAT Preparation,Education
NEET Coaching,Education
JEE Classes,Education
Skill Course,Education
Online Learning Platform,Education
Workshop Fee,Education
Training Program,Education
Certification Exam,Education
Language Course,Education
MBA Fees,Education
Engineering College Fee,Education
Entrance Exam Fee,Education
Monthly Salary,Others
Freelance Payment,Others
Consulting Fee,Others
Cash Transfer,Others
Bank Transfer,Others
ATM Withdrawal,Others
UPI Transfer,Others
Personal Loan EMI,Others
Credit Card Payment,Others
Dividend Credit,Others
Interest Credit,Others
Rental Income,Others
Part-time Work Payment,Others
Bonus Payment,Others
Salary Credit,Others
Stipend,Others
Allowance,Others
Festival Bonus,Others
Gratuity Payment,Others
Incentive Pay,Others
Reimbursement,Others
Tax Refund,Others
Cashback Credit,Others
Wallet Transfer,Others
EMI Payment,Others
